Measurement date,O3
2017-12-01,0.01166666666666667
2017-12-02,0.0045000000000000005
2017-12-03,0.004625000000000001
2017-12-04,0.017625000000000005
2017-12-05,0.017666666666666674
2017-12-06,0.007083333333333335
2017-12-07,0.010750000000000001
2017-12-08,0.014250000000000004
2017-12-09,0.004125
2017-12-10,0.010624999999999997
2017-12-11,0.017458333333333343
2017-12-12,0.011458333333333334
2017-12-13,0.007791666666666669
2017-12-14,0.0037916666666666676
2017-12-15,0.0021666666666666674
2017-12-16,0.018125000000000006
2017-12-17,0.01837500000000001
2017-12-18,0.004083333333333334
2017-12-19,0.011333333333333334
2017-12-20,0.0041666666666666675
2017-12-21,0.0035416666666666674
2017-12-22,0.002708333333333334
2017-12-23,0.008291666666666668
2017-12-24,0.012500000000000002
2017-12-25,0.019625000000000007
2017-12-26,0.014208333333333337
2017-12-27,0.012916666666666672
2017-12-28,0.003458333333333334
2017-12-29,0.005333333333333335
2017-12-30,0.004416666666666668
2017-12-31,0.021375000000000005
2018-01-01,0.009708333333333333
2018-01-02,0.009708333333333333
2018-01-03,0.015166666666666676
2018-01-04,0.010791666666666666
2018-01-05,0.0065000000000000014
2018-01-06,0.006208333333333334
2018-01-07,0.003750000000000001
2018-01-08,0.006583333333333333
2018-01-09,0.020875000000000008
2018-01-10,0.02112500000000001
2018-01-11,0.017875000000000005
2018-01-12,0.012958333333333336
2018-01-13,0.002833333333333334
2018-01-14,0.009458333333333334
2018-01-15,0.008833333333333334
2018-01-16,0.005083333333333335
2018-01-17,0.004666666666666669
2018-01-18,0.013125000000000003
2018-01-19,0.014375000000000004
2018-01-20,0.012583333333333334
2018-01-21,0.012499999999999999
2018-01-22,0.007375
2018-01-23,0.027666666666666683
2018-01-24,0.025916666666666675
2018-01-25,0.02375000000000001
2018-01-26,0.020291666666666677
2018-01-27,0.008208333333333333
2018-01-28,0.018041666666666675
2018-01-29,0.023958333333333345
2018-01-30,0.008083333333333336
2018-01-31,0.006041666666666667
2018-02-01,0.008958333333333337
2018-02-02,0.005541666666666666
2018-02-03,0.02329166666666668
2018-02-04,0.027208333333333345
2018-02-05,0.024583333333333346
2018-02-06,0.024458333333333342
2018-02-07,0.009500000000000001
2018-02-08,0.004916666666666667
2018-02-09,0.0049583333333333346
2018-02-10,0.018916666666666675
2018-02-11,0.026708333333333348
2018-02-12,0.02429166666666668
2018-02-13,0.016500000000000004
2018-02-14,0.022166666666666678
2018-02-15,0.025125000000000012
2018-02-16,0.019125000000000003
2018-02-17,0.02591666666666668
2018-02-18,0.016875000000000005
2018-02-19,0.008333333333333337
2018-02-20,0.01820833333333334
2018-02-21,0.02454166666666667
2018-02-22,0.019458333333333338
2018-02-23,0.018291666666666675
2018-02-24,0.021333333333333343
2018-02-25,0.01529166666666667
2018-02-26,0.0068333333333333345
2018-02-27,0.002791666666666668
2018-02-28,0.016958333333333336
2018-03-01,0.03287500000000001
2018-03-02,0.01750000000000001
2018-03-03,0.013583333333333336
2018-03-04,0.015000000000000001
2018-03-05,0.03600000000000002
2018-03-06,0.018875000000000006
2018-03-07,0.026708333333333344
2018-03-08,0.023958333333333342
2018-03-09,0.016041666666666673
2018-03-10,0.017541666666666674
2018-03-11,0.026708333333333337
2018-03-12,0.01391666666666667
2018-03-13,0.018625000000000003
2018-03-14,0.023291666666666672
2018-03-15,0.010833333333333335
2018-03-16,0.03370833333333335
2018-03-17,0.01895833333333334
2018-03-18,0.012916666666666668
2018-03-19,0.03158333333333335
2018-03-20,0.03620833333333335
2018-03-21,0.03141666666666668
2018-03-22,0.01870833333333334
2018-03-23,0.02279166666666667
2018-03-24,0.027708333333333335
2018-03-25,0.03512500000000001
2018-03-26,0.02195833333333333
2018-03-27,0.024958333333333336
2018-03-28,0.032708333333333346
2018-03-29,0.023958333333333335
2018-03-30,0.02879166666666667
2018-03-31,0.03020833333333334
2018-04-01,0.025500000000000005
2018-04-02,0.025458333333333336
2018-04-03,0.017875000000000005
2018-04-04,0.026083333333333344
2018-04-05,0.022041666666666678
2018-04-06,0.026333333333333347
2018-04-07,0.03408333333333335
2018-04-08,0.03175000000000001
2018-04-09,0.015875000000000004
2018-04-10,0.02725
2018-04-11,0.030708333333333348
2018-04-12,0.026
2018-04-13,0.024833333333333336
2018-04-14,0.033666666666666685
2018-04-15,0.03183333333333335
2018-04-16,0.022333333333333334
2018-04-17,0.026166666666666668
2018-04-18,0.024750000000000005
2018-04-19,0.031666666666666676
2018-04-20,0.029125000000000012
2018-04-21,0.023750000000000004
2018-04-22,0.03212500000000001
2018-04-23,0.04391666666666668
2018-04-24,0.04212500000000002
2018-04-25,0.028000000000000008
2018-04-26,0.03012500000000001
2018-04-27,0.03358333333333335
2018-04-28,0.02995833333333334
2018-04-29,0.043541666666666666
2018-04-30,0.03425
2018-05-01,0.026208333333333333
2018-05-02,0.019250000000000003
2018-05-03,0.03512500000000001
2018-05-04,0.040916666666666685
2018-05-05,0.05033333333333334
2018-05-06,0.035625000000000025
2018-05-07,0.023625000000000004
2018-05-08,0.04304166666666668
2018-05-09,0.03737500000000001
2018-05-10,0.029416666666666674
2018-05-11,0.03991666666666668
2018-05-12,0.016000000000000004
2018-05-13,0.025625
2018-05-14,0.026458333333333337
2018-05-15,0.03095833333333334
2018-05-16,0.006000000000000002
2018-05-17,0.007416666666666669
2018-05-18,0.015458333333333333
2018-05-19,0.032708333333333346
2018-05-20,0.032708333333333346
2018-05-21,0.03600000000000001
2018-05-22,0.02166666666666667
2018-05-23,0.034000000000000016
2018-05-24,0.03625
